#NAMN?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,
Variables,,Labour force (15-64 years old) ,,,,,,,,,,,,,,
Unit,,,,,,,,,,,,,,,,
Year,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Metropolitan areas,,,,,,,,,,,,,,,,
AUS: Australia,,9936150,10211000,10423500,10670300,10943000,11146400,11306100,11468600,11591500,11741600,11861100,12088800,12234300,12485000,12740500
  AUS01: Greater Sydney,,2140840,2182570,2206560,2236690,2300700,2343410,2347250,2388600,2413280,2457780,2491750,2558510,2611060,2667570,2750080
  AUS02: Greater Melbourne,,1873960,1933340,1961050,2019540,2075710,2127070,2182510,2214710,2244850,2287080,2325040,2393910,2479030,2566720,2624800
  AUS03: Greater Brisbane,,948643,990218,1024770,1058080,1089600,1118700,1139920,1149660,1162180,1171830,1190810,1210840,1230930,1263550,1285360
  AUS04: Greater Perth,,783260,816714,838083,875037,922842,941788,964030,991795,1037090,1047100,1051610,1065810,1065880,1069910,1089170
  AUS05: Greater Adelaide,,580662,596316,605683,610350,621117,630982,647418,650355,648616,652932,646876,654252,657538,662917,674197
ESP: Spain,,20149500,20998300,21630600,22280900,22908500,23106700,23210000,23280400,23281400,23043400,22813600,22767100,22656500,22558000,22606500
  ES001: Madrid,,3018910,3187440,3281267,3393793,3486154,3534140,3562124,3529500,3522795,3460718,3413234,3455420,3434352,3421373,3468794
  ES002: Barcelona,,2325840,2375102,2435470,2499257,2557575,2550143,2562107,2572200,2533062,2493027,2457928,2437877,2461426,2463868,2466565
  ES003: Valencia,,763534,782856,815326,845870,863997,857556,855630,857755,848459,837437,824489,824422,826481,828871,825086
  ES004: Seville,,641775,654780,671354,691179,713621,722423,725595,737094,743517,738362,737966,747878,728529,727815,736776
  ES005: Saragossa,,332573,349350,353349,378045,383219,381808,377731,376320,383768,379221,374752,368245,371067,367226,368637
JPN: Japan,,61530000,61470000,61360000,61210000,60840000,60370000,60060000,57040000,59470000,59260000,58920000,58520000,58660000,58980000,59540000
  JPN01: Tokyo,,17110790,17071710,17043040,17350560,17330380,17238610,17186560,17087580,17354740,17382770,17438190,17463020,17616780,17859750,18203620
  JPN02: Osaka,,7998060,7981620,7981620,7932300,7891200,7817220,7710360,7644600,7718580,7718580,7628160,7554180,7611720,7693920,7751460
  JPN03: Nagoya,,4298650,4310190,4315960,4310190,4287110,4252490,4223640,4200560,4137090,4119780,4096700,4062080,4079390,4102470,4142860
  JPN04: Fukuoka,,1284040,1282160,1278400,1257720,1248320,1242680,1250200,1246440,1235160,1225760,1218240,1212600,1206960,1206960,1214480
  JPN05: Sapporo,,1077120,1077120,1056720,1056720,1044480,1036320,1036320,1024080,1007760,991440,975120,962880,962880,958800,966960
POL: Poland,,16641300,16873500,16678900,16610300,16764600,17038700,16878600,16968200,17085500,17101300,17152700,17111700,16960900,16919200,16789900
  PL001: Warsaw,,5171,5312,5148,5414,5646,5474,1423899,1513438,1563549,1479412,1580280,1637892,1446514,1445460,1500838
  PL002: Lodz,,475714,488741,473653,498088,519432,503608,488594,492531,487600,510122,507398,484877,421102,423678,421986
  PL003: Cracow,,578106,587464,595732,564550,571152,571120,559885,574541,586179,597380,587686,553978,602277,602898,597832
  PL004: Wroclaw,,364507,369283,371400,370770,359159,360932,361733,347204,345888,335106,338967,343200,367253,361218,357958
  PL005: Poznan,,438172,426972,409304,396368,383768,388640,408044,412860,415408,414568,399028,382732,449932,454776,451276
  PL511: Walbrzych,,108332,109752,110381,110194,106743,107270,107508,103190,102799,99594,100742,102000,109148,107355,106386
  PL514: Tarnow,,127546,129584,131386,124361,125862,125835,123205,126490,129147,131750,129538,121995,133060,133224,132141
TUR: Turkey,,21378000,21850600,21832600,22235500,22908000,23744400,24690600,25768500,26367500,27290300,28086100,28903300,29761200,30796900,31370000
  TR001: Ankara,,1190702,1240518,1265440,1299936,1324840,1339360,1406064,1465992,1518352,1596232,1753136,1791328,1874224,1919368,1924384
  TR002: Adana,,243232,258930,264088,277704,276933,310480,325446,323542,314144,321590,329206,341376,344750,351860,350727
  TR003: Antalya,,338492,341341,374860,389395,405432,405594,428858,446153,460891,477172,483546,484074,507581,523699,531129
  TR004: Balikesir,,116430,120809,119412,128079,121638,124912,125254,124184,127565,129235,132017,131482,135227,139228,139293
  TR005: Bursa,,555521,587030,574027,589367,610454,607338,601542,637775,668700,702741,681849,705566,723195,770970,792203
Data extracted on 27 Feb 2024 15:03 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,
